Category,Competitor,Competitor Product,SpecChem Product
Form Release Agents,BASF,Cast-Off,SpecStrip
Cures/Cure & Sealers,BASF,MasterKure CC 250 SB,Cure & Seal 25
Cures/Cure & Sealers,BASF,MasterKure CC 300 SB,Cure & Seal 30
Cures/Cure & Sealers,BASF,MasterKure CC 160 WB,Cure & Seal WB
Cures/Cure & Sealers,BASF,MasterKure CC 250 SB,Cure & Seal 25 UV
Liquid Hardeners,BASF,MasterKure HD 110 WB,Cure Hard
Liquid Hardeners,BASF,Lapidolith,Spec-O-Lith
Liquid Hardeners,BASF,MasterKure HD 210 WB,SpecHard
Evaporation Retarders,BASF,MasterKure ER 50,SpecFilm Concentrate
Cleaners & Strippers,BASF,Citrus Degreaser,Orange Peel
Water Repellents,BASF,White Roc 10 WB,SpecShield WB
Acrylic Bonding Agents,BASF,MasterEmaco A660,Strong Bond
Acrylic Bonding Agents,BASF,Eco Weld,SpecWeld
Specialty Epoxies & Polyurea Products,BASF,MasterInject 1701,SpecPoxy 1000
Specialty Epoxies & Polyurea Products,BASF,MasterEmaco ADH 330,SpecPoxy 2000
Specialty Epoxies & Polyurea Products,BASF,MasterEmaco ADH 335,SpecPoxy 3000
Specialty Epoxies & Polyurea Products,BASF,Rapid Gel,SpecPoxy 3000 FS
Specialty Epoxies & Polyurea Products,BASF,MasterSeal CR 335,SpecPoxy C.J.
Specialty Epoxies & Polyurea Products,BASF,MasterFlow 648 CP,SpecPoxy Grout
Specialty Epoxies & Polyurea Products,BASF,MasterFlow GP,SpecPoxy Sealer
Cementitious Grouts,BASF,MB Construction Grout,SC Multi-purpose Grout
Cementitious Grouts,BASF,MasterFlow 928,SC Precision Grout
Cementitious Grouts,BASF,Embaco 885,SC Metallic Grout
Dry-Shake Hardeners,BASF,MasterTop 100,Quartz Floor Hardener
Repair Products,BASF,"MasterEmaco N 425, Sonopatch TC",SpecPatch 30
Repair Products,BASF,Sonopatch 300,Duo Patch
